#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value
492,valentin_antov_22,Valentin Antov,22,61,1,0,0,3,33,2,3.4,0,0,0,0,0,0,0,2,14,3,0,6.00,5.00,3.00,3.00,0.00,5.00,1.00,4.00,10.00,14.00,1.00,0.00,0.00,,0.00,0.00,2.00,0.59,2.00,0.00,1.00,800000.00
507,andrea_barberis_29,Andrea Barberis,29,42,0,0,1,2,33,2,3.8,0,1,1,0,0.1,0.4,0.5,3,14,0,0.27,7.00,2.00,4.00,3.00,0.00,0.00,0.00,8.00,15.00,1.00,0.00,2.00,0.00,26.70,0.00,0.10,10.00,2.67,9.00,0.00,2.00,800000.00
525,matteo_bianchetti_30,Matteo Bianchetti,30,42,1,0,0,3,26,2,23.7,1,0,1,1,0.8,0.5,1.2,6,47,4,0.04,32.00,19.00,21.00,9.00,2.00,31.00,14.00,20.00,52.00,111.00,0.00,7.00,4.00,10.90,0.00,0.80,16.00,0.68,11.00,1.00,0.00,800000.00
526,alessandro_bianco_20,Alessandro Bianco,20,42,0,0,1,2,31,2,1.7,0,0,0,0,0.1,0,0.1,4,9,2,0,5.00,2.00,2.00,3.00,0.00,1.00,1.00,0.00,5.00,0.00,0.00,2.00,1.00,25.20,0.00,0.10,4.00,2.35,3.00,0.00,0.00,800000.00
547,cristian_buonaiuto_30,Cristian Buonaiuto,30,42,0,1,1,4,26,2,10.9,1,0,1,0,2.5,1.8,4.2,35,39,89,0,25.00,16.00,8.00,11.00,6.00,11.00,11.00,1.13,39.00,7.00,0.00,42.00,11.00,19.70,6.00,3.30,60.00,5.50,26.00,9.00,2.00,800000.00
631,albin_ekdal_34,Albin Ekdal,34,37,0,0,1,2,27,2,19.3,0,2,2,0,2.9,1.6,4.4,15,80,35,0.1,37.00,20.00,14.00,20.00,3.00,24.00,22.00,26.00,63.00,36.00,0.00,19.00,4.00,14.40,0.00,2.90,35.00,1.82,26.00,4.00,1.00,800000.00
644,salvador_ferrer_25,Salvador Ferrer,25,10,1,0,0,3,27,2,1.5,0,0,0,0,0,0,0,0,1,2,0,4.00,2.00,2.00,2.00,0.00,3.00,2.00,1.00,5.00,4.00,0.00,0.00,0.00,,0.00,0.00,2.00,1.33,0.00,0.00,0.00,800000.00
669,christian_gytkjaer_33,Christian Gytkjær,33,15,0,1,1,4,33,2,6.2,1,0,1,1,3.1,0.3,3.4,1,6,32,0.16,6.00,2.00,1.00,4.00,1.00,6.00,5.00,0.00,6.00,2.00,0.00,12.00,5.00,12.80,1.00,3.90,9.00,1.46,7.00,2.00,2.00,800000.00
698,thorir_johann_helgason_22,Þórir Jóhann Helgason,22,68,0,0,1,2,35,2,2.5,0,0,0,0,0.1,0.4,0.4,2,2,5,0,2.00,2.00,1.00,0.00,1.00,3.00,2.00,3.00,5.00,3.00,0.00,2.00,0.00,32.60,1.00,0.10,7.00,2.84,3.00,0.00,1.00,800000.00
760,gary_medel_36,Gary Medel,36,70,1,0,1,5,25,2,16.4,0,1,1,0,0.1,0.4,0.5,1,58,5,0.06,25.00,15.00,16.00,7.00,2.00,17.00,7.00,1.27,53.00,34.00,0.00,2.00,0.00,26.50,0.00,0.10,23.00,1.40,20.00,0.00,2.00,800000.00
771,filippo_missori_19,Filippo Missori,19,42,1,0,0,3,22,2,2,0,0,0,0,0,0,0,1,0,3,0,4.00,3.00,3.00,0.00,1.00,0.00,0.00,1.20,7.00,5.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800000.00
774,daniele_montevago_20,Daniele Montevago,20,42,0,1,0,1,36,2,2.6,0,0,0,0,0.5,0.2,0.7,1,0,10,0,1.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,1.00,1.00,0.00,7.00,1.00,13.10,0.00,0.50,7.00,2.75,6.00,1.00,0.00,800000.00
