#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value
524,beto_25,Beto,25,63,0,1,0,1,34,2,23.7,10,1,11,9,10.1,2.6,12.6,25,13,121,0.42,16.00,9.00,0.00,9.00,7.00,18.00,15.00,1.50,22.00,30.00,0.00,60.00,20.00,13.70,0.00,10.90,49.00,2.07,31.00,5.00,4.00,25000000.00
546,marcelo_brozovic_30,Marcelo Brozović,30,30,0,0,1,2,23,2,19.7,3,5,8,3,2.5,2.8,5.3,29,114,35,0.41,37.00,22.00,13.00,22.00,2.00,23.00,16.00,1.21,59.00,28.00,0.00,25.00,7.00,21.10,1.00,2.50,58.00,2.95,42.00,7.00,8.00,25000000.00
610,giovanni_di_lorenzo_30,Giovanni Di Lorenzo,30,42,1,0,0,3,40,2,36.2,3,4,7,3,2.7,4.7,7.4,73,256,182,0.19,60.00,29.00,33.00,19.00,8.00,30.00,21.00,30.00,90.00,60.00,0.00,31.00,13.00,11.80,0.00,2.70,111.00,3.07,93.00,6.00,13.00,25000000.00
612,boulaye_dia_26,Boulaye Dia,26,40,0,1,1,4,39,2,28,16,6,22,15,8,3.1,11.1,48,50,140,0.75,12.00,5.00,3.00,6.00,3.00,10.00,10.00,1.60,19.00,27.00,1.00,47.00,21.00,15.00,0.00,8.80,64.00,2.29,53.00,5.00,9.00,25000000.00
647,davide_frattesi_23,Davide Frattesi,23,42,0,0,1,2,30,2,31.9,7,0,7,7,7.8,1.9,9.7,73,137,94,0.22,63.00,36.00,24.00,29.00,10.00,27.00,21.00,16.00,79.00,42.00,0.00,64.00,24.00,13.90,0.00,7.80,79.00,2.47,60.00,5.00,4.00,25000000.00
732,hirving_lozano_28,Hirving Lozano,28,44,0,1,0,1,40,2,17.8,3,3,6,2,4.6,3.3,7.9,86,49,190,0.28,24.00,13.00,10.00,6.00,8.00,31.00,31.00,1.14,39.00,6.00,0.00,41.00,13.00,18.50,0.00,5.40,68.00,3.82,52.00,4.00,8.00,25000000.00
857,amir_rrahmani_29,Amir Rrahmani,29,82,1,0,0,3,40,2,27.2,2,1,3,2,1.8,1,2.9,23,135,5,0.11,33.00,18.00,20.00,13.00,0.00,36.00,16.00,1.13,47.00,79.00,1.00,21.00,3.00,13.40,0.00,1.80,26.00,0.96,23.00,1.00,4.00,25000000.00
876,perr_schuurs_23,Perr Schuurs,23,9,1,0,0,3,28,2,25.8,0,2,2,0,0.9,0.9,1.8,14,56,2,0.08,51.00,25.00,29.00,17.00,5.00,28.00,12.00,28.00,79.00,102.00,0.00,14.00,1.00,14.90,2.00,0.90,20.00,0.77,14.00,1.00,2.00,25000000.00
1001,marco_asensio_27,Marco Asensio,27,10,0,1,1,4,47,3,16,9,6,15,9,5.5,4.9,10.4,56,70,108,0.94,16.00,10.00,8.00,6.00,2.00,8.00,5.00,5.00,21.00,4.00,0.00,58.00,24.00,21.50,5.00,6.30,76.00,4.74,47.00,4.00,12.00,25000000.00
1021,karim_benzema_35,Karim Benzema,35,5,0,1,0,1,47,3,22.6,19,3,22,12,14.9,5.8,20.7,72,138,157,0.66,9.00,5.00,2.00,4.00,3.00,11.00,11.00,2.00,11.00,5.00,0.00,99.00,36.00,15.90,6.00,21.50,102.00,4.50,86.00,7.00,7.00,25000000.00
1047,yannick_carrasco_29,Yannick Carrasco,29,32,1,0,1,5,60,3,25.7,7,3,10,6,7.2,4.1,11.3,146,84,264,0.35,35.00,14.00,21.00,10.00,4.00,23.00,22.00,12.00,47.00,19.00,0.00,66.00,21.00,17.20,2.00,8.00,97.00,3.77,59.00,8.00,9.00,25000000.00
1058,samuel_chukwueze_24,Samuel Chukwueze,24,17,0,1,1,4,50,3,26,6,5,11,6,6.5,4.3,10.8,133,85,261,0.42,14.00,7.00,7.00,2.00,5.00,13.00,13.00,12.00,26.00,16.00,0.00,60.00,17.00,17.40,0.00,6.50,110.00,4.23,75.00,2.00,15.00,25000000.00
1116,juan_foyth_25,Juan Foyth,25,11,1,0,0,3,50,3,21.8,1,0,1,1,1.1,1.6,2.7,47,100,18,0.05,73.00,48.00,49.00,22.00,2.00,32.00,21.00,1.19,93.00,68.00,0.00,14.00,4.00,13.70,0.00,1.10,29.00,1.33,28.00,0.00,2.00,25000000.00
1148,antoine_griezmann_32,Antoine Griezmann,32,5,0,1,1,4,60,3,31.8,15,16,31,15,12.3,13.9,26.2,99,171,202,0.98,49.00,34.00,15.00,23.00,11.00,34.00,31.00,24.00,73.00,31.00,0.00,111.00,44.00,17.60,5.00,12.30,162.00,5.10,111.00,7.00,26.00,25000000.00
1192,franck_kessie_26,Franck Kessié,26,19,0,0,1,2,49,3,11,1,1,2,1,1.8,0.7,2.5,14,39,43,0.18,15.00,9.00,6.00,6.00,3.00,10.00,8.00,12.00,27.00,11.00,2.00,15.00,3.00,15.90,0.00,1.80,21.00,1.91,15.00,4.00,2.00,25000000.00
1198,takefusa_kubo_22,Takefusa Kubo,22,49,0,1,1,4,52,3,27.1,9,4,13,9,5.7,6,11.7,117,81,239,0.48,44.00,26.00,18.00,16.00,10.00,29.00,28.00,1.80,53.00,4.00,0.00,72.00,30.00,17.80,3.00,5.70,96.00,3.55,63.00,5.00,11.00,25000000.00
1230,reinildo_mandava_29,Reinildo Mandava,29,89,1,0,0,3,60,3,20.6,0,0,0,0,0.4,0.5,0.9,28,70,41,0,66.00,43.00,46.00,19.00,1.00,27.00,15.00,1.29,96.00,59.00,0.00,6.00,0.00,22.70,0.00,0.40,23.00,1.12,21.00,0.00,1.00,25000000.00
1252,brais_mendez_26,Brais Méndez,26,10,0,0,1,2,52,3,26.7,8,4,12,8,5.6,3.8,9.3,41,137,138,0.45,58.00,34.00,18.00,30.00,10.00,27.00,24.00,12.00,70.00,14.00,1.00,60.00,21.00,21.40,9.00,5.60,98.00,3.67,54.00,3.00,11.00,25000000.00
1253,ferland_mendy_28,Ferland Mendy,28,5,1,0,0,3,47,3,15,0,1,1,0,0.3,0.6,0.9,23,56,73,0.07,21.00,12.00,14.00,6.00,1.00,7.00,5.00,14.00,35.00,16.00,0.00,1.00,0.00,7.30,0.00,0.30,28.00,1.87,25.00,0.00,2.00,25000000.00
1382,carlos_soler_26,Carlos Soler,26,10,0,0,1,2,53,3,2.7,1,0,1,0,0.2,0.2,0.4,3,13,7,0,2.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,2.00,2.00,0.00,4.00,1.00,30.00,3.00,0.90,6.00,2.23,5.00,0.00,0.00,25000000.00
1406,enes_unal_26,Enes Ünal,26,57,0,1,0,1,51,3,33,14,3,17,9,7.1,3.5,10.6,29,55,148,0.36,26.00,14.00,5.00,19.00,2.00,19.00,17.00,1.50,32.00,35.00,0.00,82.00,31.00,18.80,16.00,11.70,68.00,2.06,45.00,5.00,8.00,25000000.00
1427,inaki_williams_29,Iñaki Williams,29,14,0,1,0,1,43,3,31.5,10,3,13,9,9.1,4.8,13.9,127,61,341,0.38,22.00,16.00,5.00,14.00,3.00,18.00,15.00,1.60,29.00,34.00,0.00,83.00,32.00,15.10,0.00,10.70,85.00,2.70,62.00,6.00,9.00,25000000.00
175,goncalo_guedes_26,Gonçalo Guedes,26,31,0,1,1,4,6,1,7.9,1,1,2,1,1.2,0.5,1.7,20,16,54,0.25,8.00,6.00,4.00,3.00,1.00,4.00,4.00,12.31,9.00,2.00,0.00,19.00,6.00,18.40,1.00,1.20,27.00,3.44,15.00,2.00,1.00,23000000.00
6,rayan_ait_nouri_22,Rayan Aït Nouri,22,6,1,0,0,3,6,1,12,1,0,1,1,0.7,1,1.7,30,43,76,0.08,33.00,20.00,25.00,7.00,1.00,3.00,3.00,9.00,42.00,28.00,0.00,10.00,5.00,14.10,0.00,0.70,23.00,1.93,14.00,1.00,0.00,22000000.00
73,julio_cesar_enciso_19,Julio César Enciso,19,13,0,1,1,4,19,1,9,4,2,6,4,4,1.7,5.7,39,31,74,0.67,13.00,4.00,3.00,6.00,4.00,9.00,9.00,4.00,17.00,2.00,0.00,38.00,18.00,19.60,0.00,4.00,45.00,5.02,28.00,6.00,7.00,22000000.00
83,nathan_collins_22,Nathan Collins,22,21,1,0,0,3,6,1,20.2,0,0,0,0,0.2,0.1,0.3,11,64,5,0,27.00,15.00,19.00,8.00,0.00,35.00,7.00,21.00,48.00,84.00,0.00,3.00,0.00,9.00,0.00,0.20,11.00,0.55,8.00,0.00,0.00,22000000.00
131,christian_eriksen_31,Christian Eriksen,31,15,0,0,1,2,13,1,22.8,1,8,9,1,5,4.2,9.2,23,164,66,0.4,22.00,18.00,10.00,7.00,5.00,23.00,14.00,11.00,33.00,20.00,1.00,39.00,11.00,19.30,4.00,5.00,71.00,3.12,50.00,3.00,9.00,22000000.00
146,pablo_fornals_27,Pablo Fornals,27,10,0,1,1,4,4,1,16.7,3,1,4,3,2.2,1.7,3.9,33,89,101,0.24,30.00,15.00,9.00,12.00,9.00,16.00,14.00,1.13,44.00,9.00,0.00,27.00,7.00,22.60,0.00,2.20,57.00,3.41,48.00,3.00,3.00,22000000.00
167,joe_gomez_26,Joe Gomez,26,3,1,0,0,3,10,1,16.3,0,0,0,0,0.2,0.2,0.3,15,108,5,0,28.00,21.00,15.00,11.00,2.00,17.00,6.00,24.00,52.00,51.00,2.00,6.00,2.00,24.50,0.00,0.20,18.00,1.11,15.00,1.00,1.00,22000000.00
181,jack_harrison_26,Jack Harrison,26,3,0,1,1,4,1,1,30.1,5,7,12,5,4.7,5.1,9.8,103,103,255,0.4,41.00,17.00,5.00,15.00,21.00,47.00,45.00,1.21,63.00,25.00,0.00,39.00,14.00,17.80,3.00,4.70,114.00,3.79,68.00,5.00,9.00,22000000.00
205,mathias_jensen_27,Mathias Jensen,27,15,0,0,1,2,7,1,31.1,5,6,11,5,2.2,5,7.2,21,141,77,0.35,70.00,35.00,28.00,30.00,12.00,54.00,49.00,1.31,102.00,24.00,1.00,23.00,7.00,22.00,4.00,2.20,103.00,3.31,48.00,3.00,13.00,22000000.00
215,hamed_junior_traore_23,Hamed Junior Traorè,23,19,0,1,1,4,12,1,4.7,0,0,0,0,0.9,1.1,2.1,19,26,21,0,17.00,11.00,5.00,9.00,3.00,9.00,9.00,2.00,19.00,1.00,0.00,6.00,0.00,17.10,1.00,0.90,20.00,4.22,12.00,0.00,1.00,22000000.00
267,tyrell_malacia_24,Tyrell Malacia,24,9,1,0,0,3,13,1,15.5,0,0,0,0,0.2,0.7,0.9,19,44,33,0,46.00,33.00,33.00,12.00,1.00,13.00,10.00,25.00,71.00,49.00,0.00,5.00,2.00,22.10,0.00,0.20,19.00,1.22,19.00,0.00,0.00,22000000.00
270,solly_march_29,Solly March,29,3,1,1,0,6,19,1,30.2,7,7,14,7,8.1,8.4,16.5,110,135,357,0.46,53.00,31.00,16.00,17.00,20.00,34.00,31.00,1.23,77.00,32.00,0.00,74.00,31.00,16.20,1.00,8.10,140.00,4.64,91.00,9.00,14.00,22000000.00
295,tyrone_mings_30,Tyrone Mings,30,3,1,0,0,3,16,1,35,1,2,3,1,1.2,1.4,2.6,20,111,7,0.09,15.00,7.00,10.00,5.00,0.00,40.00,19.00,2.22,69.00,163.00,2.00,7.00,2.00,12.10,0.00,1.20,23.00,0.66,17.00,2.00,4.00,22000000.00
296,tyrick_mitchell_23,Tyrick Mitchell,23,3,1,0,0,3,5,1,32.1,0,2,2,0,0.6,1.2,1.8,23,106,90,0.06,71.00,49.00,43.00,23.00,5.00,48.00,37.00,42.00,113.00,78.00,0.00,6.00,1.00,11.60,0.00,0.60,33.00,1.03,28.00,0.00,3.00,22000000.00
383,gianluca_scamacca_24,Gianluca Scamacca,24,42,0,1,0,1,4,1,10.3,3,0,3,3,2.5,0.7,3.1,13,17,48,0.29,10.00,5.00,1.00,3.00,6.00,3.00,3.00,1.30,14.00,5.00,0.00,30.00,10.00,18.70,1.00,2.50,24.00,2.33,20.00,2.00,1.00,22000000.00
390,marcos_senesi_26,Marcos Senesi,26,11,1,0,0,3,12,1,27.7,2,0,2,2,1.6,0.5,2.1,9,66,3,0.07,50.00,35.00,28.00,22.00,0.00,38.00,18.00,2.11,93.00,146.00,2.00,8.00,2.00,9.10,0.00,1.60,16.00,0.58,14.00,1.00,3.00,22000000.00
396,luis_sinisterra_24,Luis Sinisterra,24,35,0,1,0,1,1,1,9.6,5,0,5,5,3.7,0.4,4.2,30,39,84,0.52,21.00,14.00,8.00,9.00,4.00,11.00,10.00,1.70,29.00,2.00,0.00,28.00,11.00,16.20,0.00,3.70,33.00,3.43,26.00,2.00,2.00,22000000.00
412,kamaldeen_sulemana_21,Kamaldeen Sulemana,21,14,0,1,1,4,2,1,10.7,2,1,3,2,1.7,1.3,3,32,36,80,0.28,15.00,9.00,4.00,7.00,4.00,16.00,16.00,1.50,21.00,6.00,0.00,24.00,7.00,18.80,0.00,1.70,40.00,3.72,24.00,4.00,3.00,22000000.00
469,wilfried_zaha_30,Wilfried Zaha,30,19,0,1,1,4,5,1,25.4,7,2,9,7,4.8,2.7,7.5,86,75,238,0.35,32.00,20.00,12.00,12.00,8.00,21.00,20.00,1.15,48.00,9.00,0.00,64.00,21.00,16.80,0.00,6.50,91.00,3.58,57.00,4.00,7.00,22000000.00
474,kurt_zouma_28,Kurt Zouma,28,5,1,0,0,3,4,1,22.1,2,0,2,2,2.2,0.1,2.3,3,31,1,0.09,9.00,4.00,4.00,5.00,0.00,17.00,3.00,1.29,39.00,120.00,1.00,19.00,5.00,10.10,0.00,2.20,9.00,0.41,7.00,1.00,2.00,22000000.00
563,nicolo_casale_25,Nicolò Casale,25,42,1,0,0,3,32,2,27.1,1,1,2,1,0.6,0.3,0.9,11,70,3,0.07,42.00,20.00,28.00,14.00,0.00,25.00,8.00,17.00,59.00,73.00,1.00,8.00,2.00,10.90,0.00,0.60,12.00,0.44,10.00,1.00,4.00,22000000.00
596,charles_de_ketelaere_22,Charles De Ketelaere,22,32,0,1,1,4,24,2,12.4,0,1,1,0,2,2,4,45,59,69,0.08,26.00,12.00,7.00,14.00,5.00,14.00,12.00,1.30,30.00,9.00,0.00,19.00,3.00,12.50,0.00,2.00,47.00,3.79,39.00,0.00,2.00,22000000.00
709,filip_kostic_30,Filip Kostić,30,47,1,1,0,6,37,2,28.5,3,8,11,3,2.4,7.1,9.4,101,78,230,0.39,41.00,26.00,17.00,20.00,4.00,30.00,26.00,1.15,57.00,32.00,0.00,37.00,11.00,19.60,0.00,2.40,93.00,3.26,67.00,6.00,12.00,22000000.00
784,tanguy_ndombele_26,Tanguy Ndombele,26,5,0,0,1,2,40,2,9,1,0,1,1,1,0.5,1.4,27,52,33,0.11,14.00,8.00,4.00,8.00,2.00,10.00,9.00,7.00,21.00,7.00,1.00,16.00,2.00,22.40,0.00,1.00,20.00,2.24,15.00,1.00,0.00,22000000.00
1189,lee_kang_in_22,Lee Kang-in,22,43,0,1,1,4,54,3,31.4,6,6,12,6,5.4,5.4,10.8,107,96,139,0.38,42.00,24.00,10.00,22.00,10.00,25.00,23.00,1.10,53.00,7.00,0.00,46.00,14.00,20.00,7.00,5.40,113.00,3.60,49.00,6.00,13.00,22000000.00
1210,thomas_lemar_27,Thomas Lemar,27,5,0,0,1,2,60,3,13.9,1,3,4,1,0.9,1.9,2.9,36,80,79,0.29,30.00,18.00,10.00,13.00,7.00,12.00,9.00,1.60,37.00,12.00,0.00,13.00,6.00,21.10,0.00,0.90,45.00,3.23,33.00,1.00,7.00,22000000.00
1404,viktor_tsyhankov_25,Viktor Tsyhankov,25,50,0,0,1,2,55,3,16.5,3,6,9,3,2.8,2.9,5.7,63,46,120,0.54,8.00,8.00,5.00,1.00,2.00,13.00,11.00,1.60,15.00,12.00,0.00,19.00,9.00,18.00,0.00,2.80,65.00,3.93,39.00,2.00,8.00,22000000.00
1,che_adams_27,Che Adams,27,2,0,1,0,1,2,1,22.1,5,3,8,5,6.6,2.8,9.4,17,34,115,0.36,17.00,13.00,7.00,8.00,2.00,13.00,9.00,1.30,21.00,22.00,0.00,47.00,14.00,13.80,0.00,6.60,57.00,2.57,44.00,5.00,7.00,20000000.00
45,armel_bella_kotchap_21,Armel Bella Kotchap,21,24,1,0,0,3,2,1,20.9,0,2,2,0,1,1,2.1,9,39,2,0.1,37.00,17.00,28.00,9.00,0.00,29.00,17.00,44.00,81.00,110.00,0.00,14.00,2.00,16.10,0.00,1.00,14.00,0.67,7.00,3.00,2.00,20000000.00
50,philip_billing_27,Philip Billing,27,15,0,1,1,4,12,1,30.7,7,1,8,7,4.9,3.2,8.1,37,80,101,0.26,63.00,36.00,21.00,33.00,9.00,48.00,40.00,1.30,94.00,58.00,1.00,38.00,18.00,18.30,5.00,4.90,54.00,1.76,41.00,5.00,6.00,20000000.00
67,diego_carlos_30,Diego Carlos,30,12,1,0,0,3,16,1,2.3,0,0,0,0,0.4,0,0.4,1,11,0,0,1.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,2.00,2.00,0.00,4.00,0.00,15.70,0.00,0.40,3.00,1.32,2.00,1.00,0.00,20000000.00
137,wout_faes_25,Wout Faes,25,32,1,0,0,3,9,1,31,1,2,3,1,1.2,0.6,1.9,11,74,2,0.1,56.00,33.00,28.00,26.00,2.00,53.00,16.00,2.90,97.00,113.00,2.00,13.00,3.00,11.80,0.00,1.20,22.00,0.71,16.00,3.00,4.00,20000000.00
170,demarai_gray_27,Demarai Gray,27,16,0,1,1,4,17,1,27.9,4,1,5,2,4.7,3.8,8.5,94,46,199,0.11,33.00,24.00,9.00,14.00,10.00,23.00,20.00,1.12,46.00,18.00,0.00,57.00,22.00,19.50,8.00,6.20,94.00,3.37,41.00,11.00,5.00,20000000.00
178,ilkay_gundogan_32,İlkay Gündoğan,32,24,0,0,1,2,8,1,26.1,8,4,12,8,6.7,3.3,10,53,170,124,0.46,30.00,18.00,7.00,13.00,10.00,18.00,15.00,1.19,50.00,13.00,0.00,53.00,20.00,18.10,5.00,7.50,90.00,3.44,71.00,4.00,17.00,20000000.00
203,vitaly_janelt_25,Vitaly Janelt,25,24,1,0,1,5,7,1,24.5,3,1,4,3,2.4,1.4,3.8,14,82,28,0.16,54.00,27.00,20.00,24.00,10.00,29.00,20.00,1.28,83.00,26.00,0.00,14.00,5.00,15.80,0.00,2.40,47.00,1.91,39.00,3.00,4.00,20000000.00
216,james_justin_25,James Justin,25,3,1,0,0,3,9,1,13.9,0,0,0,0,0.3,0.3,0.6,20,47,50,0,20.00,18.00,7.00,12.00,1.00,24.00,18.00,15.00,35.00,47.00,0.00,5.00,0.00,23.40,0.00,0.30,21.00,1.51,17.00,0.00,2.00,20000000.00
248,jefferson_lerma_28,Jefferson Lerma,28,35,0,0,1,2,12,1,36.1,5,0,5,5,2.6,2.3,4.9,22,142,30,0.14,50.00,30.00,23.00,23.00,4.00,32.00,17.00,2.15,97.00,91.00,1.00,35.00,10.00,17.60,0.00,2.60,47.00,1.30,42.00,2.00,1.00,20000000.00
249,rico_lewis_18,Rico Lewis,18,3,1,0,1,5,8,1,10,0,0,0,0,0.2,1.5,1.7,22,48,26,0,16.00,9.00,9.00,5.00,2.00,8.00,4.00,6.00,22.00,13.00,1.00,5.00,2.00,21.10,0.00,0.20,27.00,2.69,24.00,1.00,0.00,20000000.00
255,renan_lodi_25,Renan Lodi,25,12,1,0,0,3,15,1,24.6,0,1,1,0,1,1.2,2.1,24,31,70,0.04,52.00,39.00,38.00,8.00,6.00,25.00,19.00,33.00,85.00,74.00,0.00,15.00,0.00,19.90,2.00,1.00,30.00,1.22,22.00,1.00,4.00,20000000.00
264,harry_maguire_30,Harry Maguire,30,3,1,0,0,3,13,1,8.5,0,0,0,0,0.3,0,0.4,8,26,4,0,8.00,6.00,6.00,1.00,1.00,18.00,7.00,13.00,21.00,41.00,0.00,3.00,0.00,9.00,0.00,0.30,5.00,0.59,5.00,0.00,1.00,20000000.00
265,riyad_mahrez_32,Riyad Mahrez,32,6,0,1,1,4,8,1,21.3,5,10,15,4,4.7,7,11.8,78,76,242,0.66,30.00,14.00,8.00,13.00,9.00,27.00,26.00,1.80,39.00,5.00,0.00,42.00,12.00,17.20,7.00,5.50,116.00,5.44,74.00,10.00,21.00,20000000.00
285,dwight_mcneil_23,Dwight McNeil,23,3,0,1,1,4,17,1,27.8,7,3,10,7,3.5,6.1,9.6,76,69,128,0.36,64.00,41.00,35.00,14.00,15.00,46.00,39.00,1.30,95.00,41.00,0.00,46.00,15.00,20.50,1.00,3.50,108.00,3.89,53.00,6.00,12.00,20000000.00
344,daniel_podence_27,Daniel Podence,27,31,0,1,1,4,6,1,19.7,6,0,6,6,3.9,2.5,6.4,43,95,148,0.3,27.00,17.00,13.00,9.00,5.00,19.00,19.00,1.60,34.00,6.00,0.00,43.00,17.00,16.50,0.00,3.90,69.00,3.51,46.00,8.00,3.00,20000000.00
371,marcel_sabitzer_29,Marcel Sabitzer,29,54,0,0,1,2,13,1,7,0,1,1,0,0.7,0.9,1.7,8,38,26,0.14,12.00,8.00,3.00,8.00,1.00,6.00,4.00,8.00,20.00,11.00,0.00,11.00,3.00,18.20,1.00,0.70,20.00,2.87,16.00,1.00,3.00,20000000.00
400,dominic_solanke_25,Dominic Solanke,25,3,0,1,1,4,12,1,31.8,6,7,13,6,9.1,3.9,13,70,47,167,0.41,15.00,9.00,8.00,3.00,4.00,26.00,19.00,1.50,21.00,46.00,0.00,76.00,28.00,12.80,0.00,9.10,61.00,1.92,36.00,10.00,13.00,20000000.00
403,boubakary_soumare_24,Boubakary Soumaré,24,5,0,0,1,2,9,1,18.1,0,0,0,0,0,0.4,0.4,17,73,20,0,57.00,34.00,29.00,26.00,2.00,15.00,11.00,33.00,90.00,27.00,1.00,1.00,0.00,28.00,0.00,0.00,23.00,1.27,22.00,0.00,1.00,20000000.00
456,neco_williams_22,Neco Williams,22,28,1,0,0,3,15,1,20.9,1,0,1,1,1.3,1.4,2.7,51,33,67,0.05,72.00,47.00,49.00,17.00,6.00,33.00,25.00,2.10,105.00,48.00,0.00,25.00,7.00,21.20,2.00,1.30,39.00,1.86,23.00,2.00,2.00,20000000.00
465,granit_xhaka_30,Granit Xhaka,30,8,0,0,1,2,20,1,33.3,7,7,14,7,4.7,5.2,9.9,42,196,175,0.42,34.00,27.00,11.00,18.00,5.00,28.00,18.00,1.14,49.00,45.00,1.00,40.00,14.00,16.60,3.00,4.70,110.00,3.31,94.00,4.00,17.00,20000000.00
468,illia_zabarnyi_20,Illia Zabarnyi,20,50,1,0,0,3,12,1,3.3,0,0,0,0,0,0,0,1,11,0,0,4.00,2.00,4.00,0.00,0.00,7.00,5.00,3.00,7.00,14.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.30,0.00,0.00,0.00,20000000.00
551,davide_calabria_26,Davide Calabria,26,42,1,0,0,3,24,2,18.8,1,4,5,1,1.2,1.7,2.9,26,108,80,0.27,71.00,44.00,31.00,32.00,8.00,22.00,15.00,1.24,96.00,34.00,0.00,16.00,2.00,23.90,0.00,1.20,37.00,1.97,30.00,1.00,6.00,20000000.00
585,bryan_cristante_28,Bryan Cristante,28,42,1,0,1,5,22,2,32.6,1,1,2,1,1.9,1.4,3.3,16,142,27,0.06,113.00,62.00,55.00,49.00,9.00,39.00,29.00,1.17,131.00,53.00,0.00,28.00,5.00,16.80,0.00,2.60,42.00,1.29,37.00,5.00,7.00,20000000.00
601,merih_demiral_25,Merih Demiral,25,57,1,0,0,3,38,2,17.1,1,0,1,1,0.7,0.5,1.2,3,26,4,0.06,41.00,29.00,30.00,11.00,0.00,24.00,17.00,1.23,65.00,57.00,1.00,6.00,1.00,13.70,0.00,0.70,4.00,0.23,4.00,0.00,0.00,20000000.00
613,brahim_diaz_24,Brahim Díaz,24,10,0,1,1,4,24,2,21.4,6,7,13,6,6,5.6,11.5,80,121,116,0.61,32.00,15.00,5.00,22.00,5.00,11.00,11.00,1.60,39.00,6.00,0.00,35.00,16.00,14.50,1.00,6.00,96.00,4.49,69.00,6.00,18.00,20000000.00
617,dodo_24,Dodô,24,12,1,0,0,3,31,2,25.9,1,3,4,1,0.7,2.2,2.9,72,141,104,0.15,40.00,22.00,20.00,14.00,6.00,26.00,24.00,25.00,65.00,37.00,0.00,11.00,4.00,20.50,0.00,0.70,65.00,2.51,58.00,2.00,5.00,20000000.00
805,mario_pasalic_28,Mario Pašalić,28,30,0,1,1,4,38,2,19.7,5,2,7,5,5.7,2.2,7.9,24,82,83,0.36,22.00,10.00,6.00,14.00,2.00,22.00,18.00,1.20,43.00,13.00,0.00,32.00,8.00,12.10,0.00,5.70,51.00,2.58,46.00,2.00,6.00,20000000.00
848,samuele_ricci_22,Samuele Ricci,22,42,0,0,1,2,28,2,23,2,1,3,2,1.7,1.8,3.5,43,104,31,0.13,32.00,21.00,17.00,10.00,5.00,20.00,15.00,17.00,49.00,29.00,1.00,21.00,7.00,21.50,0.00,1.70,38.00,1.65,27.00,4.00,1.00,20000000.00
913,malick_thiaw_22,Malick Thiaw,22,24,1,0,0,3,24,2,15.1,0,0,0,0,0.8,0.2,1,6,67,2,0,31.00,26.00,22.00,9.00,0.00,11.00,6.00,12.00,43.00,65.00,1.00,8.00,3.00,10.90,0.00,0.80,15.00,0.99,14.00,1.00,0.00,20000000.00
952,nicola_zalewski_21,Nicola Zalewski,21,22,1,0,0,3,22,2,24.4,2,1,3,2,1.3,1.2,2.5,92,85,99,0.12,45.00,26.00,25.00,15.00,5.00,27.00,26.00,1.30,76.00,23.00,0.00,29.00,9.00,23.10,1.00,1.30,62.00,2.54,35.00,5.00,7.00,20000000.00
985,domingos_andre_ribeiro_almeida_23,Domingos André Ribeiro Almeida,23,31,0,0,1,2,53,3,28.2,2,4,6,2,1.4,3.4,4.9,74,197,71,0.21,66.00,42.00,23.00,32.00,11.00,26.00,26.00,1.19,86.00,16.00,1.00,23.00,8.00,22.70,3.00,1.40,91.00,3.22,67.00,1.00,5.00,20000000.00
1008,alex_baena_22,Alex Baena,22,10,0,1,1,4,50,3,21.6,6,2,8,6,3.9,5.2,9.1,50,124,110,0.37,30.00,17.00,9.00,15.00,6.00,15.00,12.00,7.00,37.00,16.00,0.00,62.00,22.00,22.60,3.00,3.90,79.00,3.65,58.00,8.00,8.00,20000000.00
1094,youssef_en_nesyri_26,Youssef En-Nesyri,26,4,0,1,0,1,42,3,18.5,8,1,9,8,8.1,1.1,9.2,16,12,71,0.49,16.00,8.00,3.00,7.00,6.00,6.00,4.00,1.30,20.00,16.00,0.00,60.00,23.00,11.60,0.00,8.10,32.00,1.73,21.00,6.00,5.00,20000000.00
1105,nabil_fekir_30,Nabil Fekir,30,5,0,0,1,2,41,3,10.7,2,2,4,1,1.6,2.7,4.4,42,41,76,0.28,11.00,5.00,3.00,3.00,5.00,6.00,4.00,1.00,12.00,0.00,0.00,24.00,6.00,21.50,9.00,2.40,56.00,5.24,31.00,2.00,5.00,20000000.00
1124,david_garcia_29,David García,29,10,1,0,0,3,56,3,29.8,2,0,2,2,0.7,0.4,1.1,16,105,4,0.07,34.00,20.00,22.00,12.00,0.00,28.00,15.00,45.00,79.00,151.00,0.00,15.00,3.00,10.20,0.00,0.70,19.00,0.64,19.00,0.00,2.00,20000000.00
1163,mario_hermoso_28,Mario Hermoso,28,10,1,0,0,3,60,3,23.4,3,2,5,3,2.1,1.4,3.5,23,115,17,0.21,22.00,15.00,14.00,6.00,2.00,19.00,10.00,19.00,41.00,85.00,1.00,15.00,5.00,16.10,0.00,2.10,33.00,1.41,27.00,4.00,3.00,20000000.00
