,#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value,value_log,estimated_value_log,diff_log,estimated_value,diff,absolute_diff
574,101,tom_davies_25,Tom Davies,25,3,0,0,1,2,17,1,6.0,0,0,0,0,1.2,0.2,1.3,2,30,13,0.0,15.0,9.0,5.0,9.0,1.0,10.0,9.0,1.3,19.0,7.0,1.0,9.0,2.0,15.7,0.0,1.2,6.0,1.0,5.0,1.0,0.0,9000000,16.012735135300492,16.192585094585105,-0.17984995928461345,10773339.707227558,-1773339.707227558,1773339.707227558
575,119,flynn_downes_24,Flynn Downes,24,3,0,0,1,2,4,1,8.5,0,0,0,0,0.4,0.1,0.5,3,22,11,0.0,16.0,9.0,4.0,10.0,2.0,15.0,13.0,7.0,23.0,6.0,0.0,4.0,1.0,14.6,0.0,0.4,13.0,1.54,8.0,3.0,0.0,9000000,16.012735135300492,16.018250393828698,-0.005515258528205891,9049774.460091377,-49774.46009137668,49774.46009137668
576,130,mohamed_elyounoussi_29,Mohamed Elyounoussi,29,7,0,1,1,4,2,1,24.1,1,1,2,1,3.5,2.1,5.6,56,50,98,0.08,46.0,28.0,22.0,20.0,4.0,40.0,37.0,1.26,73.0,37.0,0.0,36.0,10.0,15.8,0.0,3.5,41.0,1.7,34.0,2.0,4.0,9000000,16.012735135300492,16.131752368821438,-0.11901723352094606,10137503.96797675,-1137503.9679767508,1137503.9679767508
577,193,mason_holgate_26,Mason Holgate,26,3,1,0,0,3,17,1,5.6,0,0,0,0,1.0,0.4,1.4,4,14,5,0.0,11.0,7.0,8.0,3.0,0.0,7.0,4.0,7.0,18.0,28.0,0.0,4.0,0.0,11.5,0.0,1.0,11.0,1.95,8.0,1.0,2.0,9000000,16.012735135300492,16.171225679720095,-0.1584905444196032,10545667.602147497,-1545667.6021474972,1545667.6021474972
578,389,antoine_semenyo_23,Antoine Semenyo,23,14,0,1,1,4,12,1,2.9,1,0,1,1,0.3,0.1,0.4,5,5,11,0.35,1.0,0.0,0.0,0.0,1.0,10.0,9.0,2.0,3.0,4.0,0.0,3.0,1.0,17.2,0.0,0.3,7.0,2.44,3.0,1.0,0.0,9000000,16.012735135300492,16.067411014055356,-0.054675878754864016,9505784.006164331,-505784.006164331,505784.006164331
579,488,ethan_ampadu_22,Ethan Ampadu,22,28,1,0,1,5,27,2,29.3,0,1,1,0,1.1,1.1,2.2,28,125,10,0.03,66.0,37.0,33.0,28.0,5.0,48.0,25.0,2.4,102.0,98.0,0.0,16.0,5.0,18.1,0.0,1.1,40.0,1.36,33.0,4.0,4.0,9000000,16.012735135300492,16.250489793628567,-0.2377546583280754,11415581.673935799,-2415581.673935799,2415581.673935799
580,691,samuel_iling_junior_19,Samuel Iling-Junior,19,3,1,1,0,6,37,2,3.5,1,1,2,1,0.7,0.2,1.0,11,18,36,0.57,7.0,2.0,3.0,1.0,3.0,5.0,4.0,2.0,9.0,6.0,0.0,4.0,1.0,22.4,0.0,0.7,14.0,3.99,11.0,0.0,4.0,9000000,16.012735135300492,15.619852350235577,0.3928827850649146,6075970.881069307,2924029.118930693,2924029.118930693
581,892,brandon_soppy_21,Brandon Soppy,21,5,1,0,0,3,34,2,1.0,0,0,0,0,0.1,0.2,0.3,4,4,4,0.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,18.5,0.0,0.1,4.0,4.0,2.0,0.0,0.0,9000000,16.012735135300492,15.069764808578247,0.9429703267222447,3505223.381214587,5494776.618785413,5494776.618785413
582,963,joshua_zirkzee_22,Joshua Zirkzee,22,9,0,1,0,1,25,2,9.1,2,2,4,2,3.1,1.4,4.5,10,17,74,0.44,4.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,8.0,4.0,0.0,29.0,8.0,16.3,0.0,3.1,36.0,3.95,23.0,4.0,4.0,9000000,16.012735135300492,15.232401231513073,0.7803339037874188,4124276.7601794316,4875723.239820568,4875723.239820568
583,982,carles_alena_25,Carles Aleñá,25,10,0,1,1,4,51,3,23.5,2,2,4,2,2.3,1.6,3.9,24,87,78,0.17,18.0,10.0,7.0,5.0,6.0,19.0,18.0,1.3,22.0,18.0,0.0,33.0,10.0,22.3,0.0,2.3,44.0,1.87,30.0,2.0,4.0,9000000,16.012735135300492,16.219509881700194,-0.20677474639970228,11067349.904819705,-2067349.9048197046,2067349.9048197046
584,996,mauro_arambarri_27,Mauro Arambarri,27,25,0,0,1,2,51,3,11.0,0,1,1,0,0.2,1.5,1.8,8,33,7,0.09,14.0,6.0,9.0,4.0,1.0,17.0,12.0,14.0,28.0,19.0,0.0,8.0,0.0,28.6,1.0,0.2,25.0,2.27,8.0,1.0,3.0,9000000,16.012735135300492,15.412630499864129,0.600104635436363,4938787.925579245,4061212.074420755,4061212.074420755
585,1003,ezequiel_avila_29,Ezequiel Ávila,29,11,0,1,1,4,56,3,19.0,8,2,10,6,4.4,1.7,6.1,23,39,96,0.42,8.0,5.0,2.0,4.0,2.0,12.0,11.0,1.7,16.0,16.0,0.0,64.0,21.0,21.9,2.0,6.7,41.0,2.16,28.0,4.0,2.0,9000000,16.012735135300492,16.043916019241088,-0.03118088394059626,9285048.899322629,-285048.899322629,285048.899322629
586,1141,edgar_gonzalez_26,Édgar González,26,10,1,0,0,3,41,3,19.7,0,0,0,0,1.2,0.8,2.0,7,30,2,0.0,28.0,19.0,18.0,7.0,3.0,12.0,3.0,1.2,49.0,120.0,0.0,9.0,3.0,9.7,0.0,1.2,7.0,0.36,6.0,1.0,1.0,9000000,16.012735135300492,16.00988192946449,0.002853205836000683,8974357.746185763,25642.253814237192,25642.253814237192
587,1143,andoni_gorosabel_27,Andoni Gorosabel,27,10,1,0,0,3,52,3,19.0,0,0,0,0,0.6,1.0,1.6,42,68,75,0.0,41.0,25.0,23.0,9.0,9.0,21.0,19.0,1.16,58.0,23.0,0.0,14.0,1.0,21.7,0.0,0.6,30.0,1.58,22.0,0.0,1.0,9000000,16.012735135300492,15.590195196974225,0.4225399383262669,5898420.711186473,3101579.2888135267,3101579.2888135267
588,1179,joan_jordan_29,Joan Jordán,29,10,0,0,1,2,42,3,17.7,0,1,1,0,0.9,0.6,1.5,9,123,22,0.06,32.0,17.0,13.0,17.0,2.0,14.0,7.0,1.15,48.0,14.0,2.0,13.0,3.0,21.4,3.0,0.9,30.0,1.7,23.0,0.0,2.0,9000000,16.012735135300492,16.31131314121293,-0.29857800591243944,12131466.123946732,-3131466.123946732,3131466.123946732
589,1201,erik_lamela_31,Érik Lamela,31,11,0,1,1,4,42,3,20.5,6,0,6,6,5.3,1.4,6.7,66,69,162,0.29,46.0,27.0,14.0,16.0,16.0,26.0,24.0,7.0,53.0,3.0,0.0,47.0,23.0,15.0,2.0,5.3,74.0,3.61,50.0,8.0,6.0,9000000,16.012735135300492,15.661498568586149,0.3512365667143431,6334355.109863454,2665644.8901365465,2665644.8901365465
590,1247,borja_mayoral_26,Borja Mayoral,26,10,0,1,0,1,51,3,30.7,8,2,10,8,6.3,2.7,9.0,58,64,166,0.33,9.0,4.0,7.0,2.0,0.0,18.0,18.0,3.0,12.0,10.0,0.0,50.0,19.0,14.6,0.0,7.9,58.0,1.89,43.0,4.0,3.0,9000000,16.012735135300492,16.251333557964063,-0.23859842266357134,11425217.799358996,-2425217.7993589956,2425217.7993589956
591,1262,juan_miranda_23,Juan Miranda,23,10,1,0,0,3,41,3,16.4,3,2,5,3,2.4,2.9,5.3,26,73,87,0.31,23.0,16.0,16.0,6.0,1.0,20.0,13.0,20.0,43.0,63.0,0.0,21.0,8.0,18.8,3.0,2.4,38.0,2.32,30.0,0.0,4.0,9000000,16.012735135300492,16.444734478925984,-0.43199934362549186,13863006.937122775,-4863006.937122775,4863006.937122775
592,1281,iker_muniain_30,Iker Muniain,30,10,0,1,1,4,43,3,18.8,0,3,3,0,3.0,3.9,6.9,50,154,103,0.16,21.0,16.0,7.0,11.0,3.0,10.0,9.0,4.0,25.0,2.0,0.0,28.0,7.0,18.1,1.0,3.0,108.0,5.75,65.0,2.0,12.0,9000000,16.012735135300492,16.034557938896075,-0.021822803595583196,9198563.963354437,-198563.96335443668,198563.96335443668
593,1399,oliver_torres_28,Óliver Torres,28,10,0,1,1,4,42,3,23.7,3,1,4,3,2.6,3.3,5.9,38,136,156,0.17,39.0,23.0,12.0,13.0,14.0,26.0,21.0,10.0,49.0,10.0,0.0,22.0,7.0,17.1,0.0,2.6,74.0,3.12,59.0,3.0,6.0,9000000,16.012735135300492,16.727639578466324,-0.7149044431658318,18395922.200249664,-9395922.200249664,9395922.200249664
